"stn"	"species"	"year"	"doy"
"falusi03 1996-10-24 15    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 15    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 15    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 15    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 15    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi03 1996-09-18 25    12"	"Fagus.sylvatica"	1996	322
"falusi03 1996-10-24 25    12"	"Fagus.sylvatica"	1996	358
"falusi03 1996-11-20 25    12"	"Fagus.sylvatica"	1997	19
"falusi03 1996-12-18 25    12"	"Fagus.sylvatica"	1997	47
"falusi03 1997-02-17 25    12"	"Fagus.sylvatica"	1997	108
"falusi03 1997-03-24 25    12"	"Fagus.sylvatica"	1997	143
"falusi97 1993-09-18 15  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-09-18 25  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-09-18 15  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-09-18 25  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-10-21 15  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-10-21 25  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-10-21 15  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-10-21 25  0  12"	"Fagus.sylvatica"	1994	16
"falusi97 1994-09-18 15  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1994-09-18 15  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1994-09-18 15  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1994-09-18 15  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1994-09-18 25  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1994-09-18 25  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1994-09-18 25  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1994-09-18 25  0  12"	"Fagus.sylvatica"	1994	321
"falusi97 1993-12-24 15  54  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-12-24 25  54  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-12-24 15  54  12"	"Fagus.sylvatica"	1994	16
"falusi97 1993-12-24 25  54  12"	"Fagus.sylvatica"	1994	16
"falusi97 1995-01-06 15  67  12"	"Fagus.sylvatica"	1995	66
"falusi97 1995-01-06 15  67  12"	"Fagus.sylvatica"	1995	66
"falusi97 1995-01-06 15  67  12"	"Fagus.sylvatica"	1995	66
"falusi97 1995-01-06 15  67  12"	"Fagus.sylvatica"	1995	66
"falusi97 1995-01-06 25  67  12"	"Fagus.sylvatica"	1995	66
"falusi97 1995-01-06 25  67  12"	"Fagus.sylvatica"	1995	66
"falusi97 1995-01-06 25  67  12"	"Fagus.sylvatica"	1995	66
"falusi97 1995-01-06 25  67  12"	"Fagus.sylvatica"	1995	66
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	218
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	158
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	172
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	179
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	185
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	192
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	199
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	206
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	213
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	158
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	172
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	179
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	185
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	192
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	199
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	207
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	213
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	249
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	158
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	167
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	171
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	174
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	177
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	180
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	182
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	186
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	188
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	191
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	194
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	197
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	200
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	203
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	207
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	209
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	212
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	215
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	221
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	158
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	167
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	171
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	174
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	177
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	180
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	182
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	186
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	188
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	191
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	194
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	197
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	200
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	203
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	207
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	209
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	212
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	215
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	221
"guak98 1995-06-07 ambient + 4    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"guak98 1995-06-07 ambient    12"	"Pseudotsuga.menziesii"	1995	228
"heide93 1990-02-15 21    8"	"Betula.pendula"	1990	64
"heide93 1990-03-15 21    24"	"Betula.pendula"	1990	92
"heide93 1989-11-15 21    8"	"Betula.pendula"	1989	337
"heide93 1989-12-15 21    24"	"Betula.pendula"	1990	2
"heide93 1990-01-15 21    8"	"Betula.pendula"	1990	33
"heide93 1990-02-15 21    24"	"Betula.pendula"	1990	64
"heide93 1990-03-15 21    8"	"Betula.pendula"	1990	92
"heide93 1989-11-15 15    24"	"Betula.pendula"	1989	344
"heide93 1989-12-15 15    8"	"Betula.pendula"	1990	9
"heide93 1990-01-15 15    24"	"Betula.pendula"	1990	40
"heide93 1990-02-15 15    8"	"Betula.pendula"	1990	71
"heide93 1990-03-15 15    24"	"Betula.pendula"	1990	99
"heide93 1989-11-15 15    8"	"Betula.pendula"	1989	344
"heide93 1989-12-15 15    24"	"Betula.pendula"	1990	9
"heide93 1990-01-15 15    8"	"Betula.pendula"	1990	40
"heide93 1990-02-15 15    24"	"Betula.pendula"	1990	71
"heide93 1990-03-15 15    8"	"Betula.pendula"	1990	99
"heide93 1989-11-15 9    24"	"Betula.pendula"	1989	361
"heide93 1989-12-15 9    8"	"Betula.pendula"	1990	26
"heide93 1990-03-15 9    24"	"Prunus.padus"	1990	116
"heide93 1989-11-15 9    8"	"Prunus.padus"	1989	361
"heide93 1989-12-15 9    24"	"Prunus.padus"	1990	26
"heide93 1990-01-15 9    8"	"Prunus.padus"	1990	57
"heide93 1990-02-15 9    24"	"Prunus.padus"	1990	88
"heide93 1990-03-15 9    8"	"Prunus.padus"	1990	116
"heide93 1989-11-15 21    24"	"Populus.tremula"	1989	337
"heide93 1989-12-15 21    8"	"Populus.tremula"	1990	2
"heide93 1990-01-15 21    24"	"Populus.tremula"	1990	33
"heide93 1990-02-15 21    8"	"Populus.tremula"	1990	64
"heide93 1990-03-15 21    24"	"Populus.tremula"	1990	92
"heide93 1989-11-15 21    8"	"Populus.tremula"	1989	337
"heide93 1989-12-15 21    24"	"Populus.tremula"	1990	2
"heide93 1990-01-15 21    8"	"Populus.tremula"	1990	33
"heide93 1990-02-15 21    24"	"Populus.tremula"	1990	64
"heide93 1990-03-15 21    8"	"Populus.tremula"	1990	92
"heide93 1989-11-15 15    24"	"Populus.tremula"	1989	344
"heide93 1989-12-15 15    8"	"Populus.tremula"	1990	9
"heide93 1990-01-15 15    24"	"Populus.tremula"	1990	40
"heide93 1990-02-15 15    8"	"Populus.tremula"	1990	71
"heide93 1990-03-15 15    24"	"Populus.tremula"	1990	99
"heide93 1989-11-15 15    8"	"Populus.tremula"	1989	344
"heide93 1989-12-15 15    24"	"Populus.tremula"	1990	9
"heide93 1990-01-15 15    8"	"Populus.tremula"	1990	40
"heide93 1990-02-15 15    24"	"Populus.tremula"	1990	71
"heide93 1990-03-15 15    8"	"Populus.tremula"	1990	99
"heide93 1989-11-15 9    24"	"Populus.tremula"	1989	361
"heide93 1989-12-15 9    8"	"Populus.tremula"	1990	26
"heide93 1990-01-15 9    24"	"Populus.tremula"	1990	57
"heide93 1990-02-15 9    8"	"Populus.tremula"	1990	88
"heide93 1990-03-15 9    24"	"Populus.tremula"	1990	116
"heide93 1989-11-15 9    8"	"Populus.tremula"	1989	361
"heide93 1989-12-15 9    24"	"Populus.tremula"	1990	26
"heide93 1990-01-15 9    8"	"Populus.tremula"	1990	57
"heide93 1990-02-15 9    24"	"Populus.tremula"	1990	88
"heide93 1990-03-15 9    8"	"Populus.tremula"	1990	116
"heide93 1989-11-15 21    24"	"Alnus.incana"	1989	337
"heide93 1989-12-15 21    8"	"Alnus.incana"	1990	2
"heide93 1990-01-15 21    24"	"Alnus.incana"	1990	33
"heide93 1990-02-15 21    8"	"Alnus.incana"	1990	64
"heide93 1990-03-15 21    24"	"Alnus.incana"	1990	92
"heide93 1989-11-15 21    8"	"Alnus.incana"	1989	337
"heide93 1989-12-15 21    24"	"Alnus.incana"	1990	2
"heide93 1990-01-15 21    8"	"Alnus.incana"	1990	33
"heide93 1990-02-15 21    24"	"Alnus.incana"	1990	64
"heide93 1991-01-15 15    8"	"Populus.tremula"	1991	40
"heide93 1991-02-15 15    24"	"Populus.tremula"	1991	71
"heide93 1991-03-15 15    8"	"Populus.tremula"	1991	99
"heide93 1990-11-15 9    24"	"Populus.tremula"	1990	361
"heide93 1990-12-15 9    8"	"Populus.tremula"	1991	26
"heide93 1991-01-15 9    24"	"Populus.tremula"	1991	57
"heide93 1991-02-15 9    8"	"Populus.tremula"	1991	88
"heide93 1991-03-15 9    24"	"Populus.tremula"	1991	116
"heide93 1990-11-15 9    8"	"Populus.tremula"	1990	361
"heide93 1990-12-15 9    24"	"Populus.tremula"	1991	26
"heide93 1991-01-15 9    8"	"Populus.tremula"	1991	57
"heide93 1991-02-15 9    24"	"Populus.tremula"	1991	88
"heide93 1991-03-15 9    8"	"Populus.tremula"	1991	116
"heide93 1990-11-15 21    24"	"Alnus.incana"	1990	337
"heide93 1990-12-15 21    8"	"Alnus.incana"	1991	2
"heide93 1991-01-15 21    24"	"Alnus.incana"	1991	33
"heide93 1991-02-15 21    8"	"Alnus.incana"	1991	64
"heide93 1991-03-15 21    24"	"Alnus.incana"	1991	92
"heide93 1990-11-15 21    8"	"Alnus.incana"	1990	337
"heide93 1990-12-15 21    24"	"Alnus.incana"	1991	2
"heide93 1991-01-15 21    8"	"Alnus.incana"	1991	33
"heide93 1991-02-15 21    24"	"Alnus.incana"	1991	64
"heide93 1991-03-15 21    8"	"Alnus.incana"	1991	92
"heide93 1990-11-15 15    24"	"Alnus.incana"	1990	344
"heide93 1990-12-15 15    8"	"Alnus.incana"	1991	9
"heide93 1991-01-15 15    24"	"Alnus.incana"	1991	40
"heide93 1991-02-15 15    8"	"Alnus.incana"	1991	71
"heide93 1991-03-15 15    24"	"Alnus.incana"	1991	99
"heide93 1990-11-15 15    8"	"Alnus.incana"	1990	344
"heide93 1990-12-15 15    24"	"Alnus.incana"	1991	9
"heide93 1991-01-15 15    8"	"Alnus.incana"	1991	40
"heide93 1991-02-15 15    24"	"Alnus.incana"	1991	71
"heide93 1991-03-15 15    8"	"Alnus.incana"	1991	99
"heide93 1990-11-15 9    24"	"Alnus.incana"	1990	361
"heide93 1990-12-15 9    8"	"Alnus.incana"	1991	26
"heide93 1991-01-15 9    24"	"Alnus.incana"	1991	57
"heide93 1991-02-15 9    8"	"Alnus.incana"	1991	88
"heide93 1991-03-15 9    24"	"Alnus.incana"	1991	116
"heide93 1990-11-15 9    8"	"Alnus.incana"	1990	361
"heide93 1990-12-15 9    24"	"Alnus.incana"	1991	26
"heide93 1991-01-15 9    8"	"Alnus.incana"	1991	57
"heide93 1991-02-15 9    24"	"Alnus.incana"	1991	88
"heide93 1991-03-15 9    8"	"Alnus.incana"	1991	116
"heide93 1990-11-15 21    24"	"Alnus.glutinosa"	1990	337
"heide93 1990-12-15 21    8"	"Alnus.glutinosa"	1991	2
"heide93 1991-01-15 21    24"	"Alnus.glutinosa"	1991	33
"heide93 1989-11-15 21    24"	"Betula.pubescens"	1989	337
"heide93 1989-12-15 21    8"	"Betula.pubescens"	1990	2
"heide93 1990-01-15 21    24"	"Betula.pubescens"	1990	33
"heide93 1990-02-15 21    8"	"Betula.pubescens"	1990	64
"heide93 1990-03-15 21    24"	"Betula.pubescens"	1990	92
"heide93 1989-11-15 21    8"	"Betula.pubescens"	1989	337
